diyu,fangkeshuliang,ipshu,fw£¨xiaochuhuanhangfu£©,,,,,,,
guangdong,1112840,1060797,,,,,,,,
jiangsu,117991,110978,,,,,,,,
henan,86693,82354,,,,,,,,
shandong,89235,85558,,,,,,,,
zhejiang,73227,68489,,,,,,,,
beijing,61718,58526,,,,,,,,
sichuan,42802,39662,,,,,,,,
hebei,52905,52034,,,,,,,,
hubei,50484,48852,,,,,,,,
fujian,40005,37349,,,,,,,,
anhui,40765,39555,,,,,,,,
hunan,33840,32277,,,,,,,,
shanghai,35726,34637,,,,,,,,
liaoning,32682,31480,,,,,,,,
shanxi,32506,31287,,,,,,,,
guangxi,24398,23422,,,,,,,,
yunnan,29001,27856,,,,,,,,
jiangxi,28030,27062,,,,,,,,
shanxi,26437,25806,,,,,,,,
chongqing,25749,24557,,,,,,,,
qita,24166,21094,,,,,,,,
guizhou,22926,22258,,,,,,,,
heilongjiang,19138,17498,,,,,,,,
xinjiang,19220,18612,,,,,,,,
jilin,15719,15070,,,,,,,,
tianjin,17777,17253,,,,,,,,
neimenggu,16590,15824,,,,,,,,
gansu,14016,13714,,,,,,,,
hainan,15550,15112,,,,,,,,
xianggang,8346,8028,,,,,,,,
ningxia,1646,1402,,,,,,,,
qinghai,5484,5380,,,,,,,,
xizang,5000,4823,,,,,,,,
taiwan,2626,2535,,,,,,,,
aomen,276,282,,,,,,,,
,166,171,,,,,,,,
