diyu,fangkeshuliang,ipshu,fw£¨xiaochuhuanhangfu£©
guangdong,1282633,1225500,
jiangsu,139943,131990,
henan,112409,106834,
shandong,96449,92875,
zhejiang,91836,85618,
beijing,70087,67751,
sichuan,63471,62513,
hebei,48845,45381,
hubei,51951,50416,
fujian,49764,48309,
anhui,46771,43914,
hunan,38735,37242,
shanghai,39325,37628,
liaoning,38002,37088,
shanxi,17671,16873,
guangxi,34652,33459,
yunnan,32281,30956,
jiangxi,28185,27345,
shanxi,30068,29328,
chongqing,30460,29233,
qita,28949,27781,
guizhou,23594,21900,
heilongjiang,23927,20729,
xinjiang,24661,23925,
jilin,21003,20326,
tianjin,19969,19298,
neimenggu,18951,17984,
gansu,17317,17000,
hainan,17770,17129,
xianggang,9064,8771,
ningxia,5992,5882,
qinghai,1556,1315,
xizang,5557,5361,
taiwan,2971,2881,
aomen,270,280,
,177,185,
