time,valueA,valueB,valueC
1,256143,116295,109428
2,167628,80483,76504
3,134575,69453,66817
4,124607,64798,60392
5,119363,60041,57577
6,107820,42096,38974
7,93107,46073,44528
8,90657,47019,46304
9,80256,36512,34068
10,75606,32605,30998
11,70998,36785,35649
12,65774,31541,30556
13,61881,25163,24068
14,58647,29034,27974
15,57979,28432,27308
16,52754,26342,25392
17,48329,26339,25423
18,45971,23376,22347
19,42812,22890,22402
20,38609,18861,16561
21,36442,17189,15785
22,35199,19080,18604
23,33642,17312,16851
24,30277,16113,15551
25,29729,14838,14199
26,27819,13427,13114
27,27748,14883,14200
28,25562,13742,13381
29,15982,7936,7642
30,12405,1726,1484
