diyu,fangkeshu,ipshu,fw£¨xiaochuhuanhangfu£©
guangdong,1021010,973714,
jiangsu,112214,105735,
henan,80957,77035,
shandong,71492,68696,
zhejiang,66578,61990,
beijing,58878,56511,
sichuan,41620,38559,
hebei,47332,45759,
hubei,48455,47688,
fujian,36435,34025,
anhui,31747,30224,
hunan,37720,36491,
shanghai,32437,31365,
liaoning,30018,28897,
shanxi,24281,23269,
guangxi,28749,27753,
yunnan,25977,25036,
jiangxi,26953,25971,
shanxi,23752,23192,
chongqing,23023,21999,
qita,20009,17466,
guizhou,17563,15981,
heilongjiang,20054,19585,
xinjiang,18648,18092,
jilin,15682,15219,
tianjin,14700,14104,
neimenggu,15648,14896,
gansu,14188,13754,
hainan,13057,12803,
xianggang,8962,8335,
ningxia,1574,1298,
qinghai,5123,5029,
xizang,4394,4233,
taiwan,2314,2250,
aomen,295,294,
,181,180,
