地域,浏览量(PV),访客数(UV),IP数,跳出率,平均访问时长
总计,2092495,1012242,965643,72.67%, 00:02:43
广东,256143,116295,109428,71.23%, 00:03:06
江苏,167628,80483,76504,72.37%, 00:02:44
河南,134575,69453,66817,73.40%, 00:02:13
山东,124607,64798,60392,74.39%, 00:02:23
浙江,119363,60041,57577,73.92%, 00:02:42
北京,107820,42096,38974,69.06%, 00:03:57
四川,93107,46073,44528,72.87%, 00:02:41
河北,90657,47019,46304,74.43%, 00:02:20
湖北,80256,36512,34068,71.32%, 00:03:02
福建,75606,32605,30998,69.90%, 00:03:02
安徽,70998,36785,35649,74.12%, 00:02:18
湖南,65774,31541,30556,72.27%, 00:02:45
上海,61881,25163,24068,66.46%, 00:04:33
辽宁,58647,29034,27974,73.52%, 00:02:23
陕西,57979,28432,27308,72.12%, 00:02:29
广西,52754,26342,25392,73.42%, 00:02:26
云南,48329,26339,25423,76.19%, 00:02:07
江西,45971,23376,22347,73.35%, 00:02:21
山西,42812,22890,22402,74.29%, 00:02:06
重庆,38609,18861,16561,72.77%, 00:02:41
其他,36442,17189,15785,72.25%, 00:02:53
贵州,35199,19080,18604,75.44%, 00:02:08
黑龙江,33642,17312,16851,74.33%, 00:02:18
新疆,30277,16113,15551,74.76%, 00:01:53
吉林,29729,14838,14199,71.91%, 00:02:18
天津,27819,13427,13114,72.80%, 00:02:35
内蒙古,27748,14883,14200,75.01%, 00:02:01
甘肃,25562,13742,13381,74.89%, 00:02:02
海南,15982,7936,7642,74.72%, 00:02:18
香港,12405,1726,1484,46.93%, 00:18:41
宁夏,9766,4908,4820,74.05%, 00:02:21
青海,7735,4147,3997,75.30%, 00:02:01
西藏,4273,2334,2271,75.39%, 00:01:50
台湾,2019,292,293,40.93%, 00:16:24
澳门,381,177,181,68.44%, 00:04:22
