地域,11月1日,11月2日,11月3日,11月4日,11月5日,11月6日,11月7日,11月8日,11月9日,11月10日,11月11日,11月12日,11月13日,11月14日,11月15日,11月16日,11月17日,11月18日,11月19日,11月20日,11月21日,11月22日,11月23日,11月24日,11月25日,11月26日,11月27日,11月28日,11月29日,11月30日
广东,256143,252479,259400,285852,291467,257781,255822,247206,242244,247017,289761,266678,237180,212372,213791,218581,213553,219287,226967,214875,207288,208154,210127,216959,222230,223574,201757,199663,199943,202228
江苏,167628,171032,181022,214184,224763,186979,195097,165414,176616,173420,183770,174271,149420,143936,143870,150487,151393,154425,155513,147144,141349,140955,142915,142266,150774,146457,126347,125953,129320,130353
河南,134575,129784,171510,186742,184055,177005,168262,154563,145910,159221,182177,152991,119090,115772,118475,121260,133407,143677,128973,119385,112248,111601,117367,121497,144873,124997,106997,109837,110078,106387
山东,124607,137951,140195,158064,176130,138851,128028,124887,128456,127191,146314,133667,113627,113733,112188,119218,132950,133585,127122,111982,109290,110247,109911,120482,133719,112623,104073,107446,107368,105312
浙江,119363,119218,121028,138608,136957,122715,127675,122541,145910,126418,132518,129082,103390,97194,96781,106458,103737,104848,138790,104478,92979,96078,95113,98121,111194,100580,88455,91654,89949,93077
北京,107820,104078,109532,110710,122146,119704,101197,96978,95201,103746,104123,103007,95455,92762,92714,94118,94846,95300,90764,89038,86784,83904,87480,88595,91979,81860,82337,82030,83069,82039
四川,93107,93177,102616,108482,107532,106255,100312,93604,89907,89201,100056,94929,84270,85623,83428,84710,92027,89552,84657,84173,80231,80516,81584,83668,88914,77872,75238,77485,76274,77024
河北,90657,96906,101252,107223,100554,93576,93792,93550,89440,91209,89057,90606,83207,84486,81775,81159,84290,87199,84248,90425,79902,76198,75354,83154,81340,77326,73825,75146,75666,76783
湖北,80256,78256,87210,95963,97309,78608,81410,76291,85447,80183,83630,79036,67715,65066,70575,67932,70785,72010,68533,68995,67848,67449,64744,68481,71901,64316,61507,63039,61653,65253
福建,75606,80974,78324,88826,96473,77757,76533,75252,73374,77454,80174,72631,66743,63031,63842,65077,65117,67330,66585,63363,60029,60986,60392,63825,67392,63970,59046,59100,56955,59699
安徽,70998,73324,66284,88681,81754,75381,73138,69667,72731,73579,79533,71494,60541,57935,59797,62540,64835,63781,62430,62001,59046,58752,59607,61118,62000,59667,55423,55684,56475,56126
湖南,65774,67854,72950,79789,78303,73237,68773,69083,71403,71952,73014,66112,58968,57186,59590,60690,63997,63356,61721,59087,55655,57225,56535,59824,60565,57004,53769,52898,52418,54202
上海,61881,61262,66287,71505,75383,72335,65400,67993,61204,60729,68276,65283,57559,56813,57947,56454,60918,61955,58980,57101,55209,56115,55459,57611,60547,55466,52906,52660,51741,50880
辽宁,58647,60685,77245,71439,70636,69985,65398,56708,57482,57989,64577,61289,54717,51941,52493,53788,56828,59404,55905,51658,51024,50194,50279,51032,56744,49716,48722,48709,46540,48080
陕西,57979,58538,61127,71114,69143,60776,64554,56594,55904,56080,73204,60083,53074,54471,50454,51551,52972,52636,50130,51035,48965,47885,47922,50968,52206,47773,46697,47059,45824,47531
广西,52754,53547,59684,66695,64595,59962,59540,54930,54379,54931,59459,57009,47963,45788,46710,46640,49294,51093,47151,46414,43597,44086,45337,47300,48029,46028,42304,44393,43513,44943
云南,48329,50183,52448,65214,63166,59924,58405,51250,50064,54392,57609,53742,47330,44232,45692,45351,46690,48564,46933,42559,41247,39383,39892,44356,47338,42983,41192,40359,38851,39621
江西,45971,46245,51273,42579,57716,57294,54852,49633,48887,51734,54328,51566,43990,42373,43739,42774,46270,47412,46035,42177,39304,38923,39260,43830,46558,42135,39726,39309,37398,39427
山西,42812,46156,49886,57865,56014,54914,53294,49062,46779,48842,50805,50018,38660,38184,39492,40144,41465,44649,42414,38701,39078,42078,38616,43727,44805,41206,36924,36459,36439,37577
重庆,38609,41915,49658,56313,55206,50244,46964,41905,41722,42279,46766,48312,38193,36409,37666,37135,39674,40433,38976,35828,34671,34275,34971,36279,41749,36279,32640,32642,33511,34935
其他,36442,37865,42017,52271,49005,47063,43694,40834,38430,39991,45181,43645,35892,34549,35745,42205,37782,40359,36734,33833,31038,31919,33389,33966,39068,35362,31981,32391,30729,30468
贵州,35199,37775,41573,47569,46951,45520,43392,40055,38379,38444,42778,40852,34299,34287,34423,34230,37672,38790,36599,32078,30435,31825,31743,33130,36579,33752,29676,30373,28485,30322
黑龙江,33642,36874,37586,35302,44977,44305,41185,39240,37473,38234,40700,51045,33392,33106,32474,31916,35023,37945,35023,31411,29942,30458,19870,31909,33843,32481,28482,29202,28460,29553
新疆,30277,30283,35250,41669,41468,43007,41040,33497,31789,33979,38999,37364,30550,29290,29120,29375,31394,36657,33796,28609,27130,28580,26518,28907,33656,29868,25315,25467,24753,25124
吉林,29729,29990,33564,39030,37048,42817,39862,33490,30312,31553,35642,35910,28454,28884,28423,29106,30329,31267,30162,26653,25923,26521,26410,27072,30017,27631,24894,25042,24647,24505
天津,27819,29236,30982,35302,36022,40073,38756,32289,29911,31286,33680,34185,27173,27679,28368,28070,36705,30871,30132,26550,25869,25693,25654,26826,29316,27083,24227,24769,23610,23468
内蒙古,27748,27296,29679,32157,35087,28198,33562,30828,28900,29608,32445,32125,26227,27665,27141,26650,28496,30730,28560,26427,24798,23695,25026,25958,27999,26996,22755,23547,23421,23055
甘肃,25562,26651,29204,33123,32936,27901,27868,26677,27223,26686,28694,28680,32540,24916,25268,25367,27253,27970,26288,25077,24305,23439,23691,25584,26097,24041,22422,22991,23025,22848
海南,15982,20650,16630,18397,17784,17142,16451,16608,16544,15872,16906,18102,15751,15183,14726,14598,14007,14288,13843,14047,13252,13619,13712,13495,15428,13599,12415,12677,12937,13534
香港,12405,12512,12019,13467,11894,11840,11545,13203,11483,11352,12007,11234,12369,12006,11474,11828,12514,11594,12086,11345,11882,11951,12328,11600,10416,10621,11113,11255,11012,10313
宁夏,9766,10687,11062,13419,11848,10161,10969,10732,10266,10388,11764,11049,9475,9574,9663,9142,9897,10363,9967,8949,9044,8247,8053,8868,10156,9341,8079,8009,7421,8232
青海,7735,8105,9485,11415,10998,9170,10640,9116,8545,9121,10514,10496,7811,8154,8216,8006,8398,9708,8851,7664,7448,6862,6586,7366,8771,7421,6307,6396,6334,6582
西藏,4273,4139,4635,5651,5404,4460,4674,4719,4601,4692,5949,5400,4098,4462,4156,4124,4496,5554,4870,3565,3303,3429,3386,3647,4593,4055,3186,3272,3082,3032
台湾,2019,1705,1902,1514,1628,1876,1328,1265,1428,1714,999,1047,1498,1453,1380,1619,1475,1056,893,1264,937,995,951,1010,777,800,876,746,872,790
澳门,381,486,508,558,486,433,412,411,369,362,332,391,346,387,371,376,399,321,395,335,534,287,375,299,351,315,233,286,268,302
